id,date,product_name,category,quantity_sold,unit_price,revenue,region
41,2025-04-26,Mouse,Accessories,4,20.0,80.0,West
42,2025-04-30,Mouse,Accessories,17,20.0,340.0,East
43,2025-04-03,USB Cable,Accessories,19,10.0,190.0,North
44,2025-04-23,Mouse,Accessories,10,20.0,200.0,South
45,2025-04-25,Headphones,Accessories,7,60.0,420.0,West
46,2025-04-11,Tablet,Electronics,3,300.0,900.0,East
47,2025-05-01,Smartphone,Electronics,19,500.0,9500.0,East
48,2025-04-23,Smartphone,Electronics,10,500.0,5000.0,South
49,2025-04-06,USB Cable,Accessories,5,10.0,50.0,East
50,2025-04-12,Mouse,Accessories,18,20.0,360.0,North
51,2025-04-05,Smartphone,Electronics,3,500.0,1500.0,North
52,2025-04-10,Smartphone,Electronics,3,500.0,1500.0,West
53,2025-04-27,USB Cable,Accessories,16,10.0,160.0,North
54,2025-04-30,Headphones,Accessories,8,60.0,480.0,East
55,2025-04-22,Charger,Accessories,16,25.0,400.0,West
56,2025-04-09,Tablet,Electronics,7,300.0,2100.0,East
57,2025-04-24,Keyboard,Accessories,15,30.0,450.0,North
58,2025-04-19,Webcam,Accessories,9,80.0,720.0,North
59,2025-04-18,Tablet,Electronics,14,300.0,4200.0,West
60,2025-04-05,Monitor,Electronics,11,200.0,2200.0,West
61,2025-04-17,USB Cable,Accessories,15,10.0,150.0,South
62,2025-04-28,Laptop,Electronics,20,750.0,15000.0,North
63,2025-04-22,USB Cable,Accessories,9,10.0,90.0,South
64,2025-04-11,Smartphone,Electronics,2,500.0,1000.0,West
65,2025-04-04,USB Cable,Accessories,3,10.0,30.0,North
66,2025-04-09,Keyboard,Accessories,3,30.0,90.0,North
67,2025-04-13,Laptop,Electronics,5,750.0,3750.0,East
68,2025-04-20,Keyboard,Accessories,8,30.0,240.0,West
69,2025-04-02,Monitor,Electronics,6,200.0,1200.0,South
70,2025-04-11,Laptop,Electronics,13,750.0,9750.0,West
71,2025-04-16,USB Cable,Accessories,13,10.0,130.0,West
72,2025-04-04,Charger,Accessories,6,25.0,150.0,West
73,2025-04-04,Charger,Accessories,16,25.0,400.0,North
74,2025-04-18,Webcam,Accessories,14,80.0,1120.0,West
75,2025-04-14,Laptop,Electronics,4,750.0,3000.0,East
76,2025-04-15,Keyboard,Accessories,15,30.0,450.0,South
77,2025-04-12,USB Cable,Accessories,11,10.0,110.0,East
78,2025-04-16,Webcam,Accessories,9,80.0,720.0,East
79,2025-04-28,Laptop,Electronics,2,750.0,1500.0,East
80,2025-04-23,Charger,Accessories,11,25.0,275.0,East
81,2025-04-22,Smartphone,Electronics,14,500.0,7000.0,East
82,2025-04-08,Monitor,Electronics,11,200.0,2200.0,East
83,2025-04-23,Monitor,Electronics,4,200.0,800.0,West
84,2025-04-17,Smartphone,Electronics,5,500.0,2500.0,South
85,2025-04-03,Tablet,Electronics,11,300.0,3300.0,East
86,2025-04-15,Laptop,Electronics,8,750.0,6000.0,West
87,2025-04-21,Mouse,Accessories,10,20.0,200.0,South
88,2025-04-16,Monitor,Electronics,8,200.0,1600.0,East
89,2025-04-28,Headphones,Accessories,19,60.0,1140.0,West
90,2025-04-08,Laptop,Electronics,17,750.0,12750.0,South
91,2025-04-27,Keyboard,Accessories,1,30.0,30.0,West
92,2025-05-01,Tablet,Electronics,6,300.0,1800.0,East
93,2025-04-17,Laptop,Electronics,1,750.0,750.0,West
94,2025-04-09,USB Cable,Accessories,10,10.0,100.0,South
95,2025-04-11,Tablet,Electronics,12,300.0,3600.0,West
96,2025-04-25,Monitor,Electronics,14,200.0,2800.0,South
97,2025-04-27,Headphones,Accessories,15,60.0,900.0,South
98,2025-04-30,Laptop,Electronics,4,750.0,3000.0,East
99,2025-04-14,Keyboard,Accessories,2,30.0,60.0,North
100,2025-04-15,Smartphone,Electronics,19,500.0,9500.0,North
101,2025-05-01,Laptop,Electronics,15,750.0,11250.0,East
102,2025-04-13,Headphones,Accessories,3,60.0,180.0,North
103,2025-04-15,Keyboard,Accessories,14,30.0,420.0,North
104,2025-04-25,Laptop,Electronics,18,750.0,13500.0,South
105,2025-04-08,Charger,Accessories,5,25.0,125.0,East
106,2025-04-28,Mouse,Accessories,9,20.0,180.0,North
107,2025-04-13,Keyboard,Accessories,11,30.0,330.0,East
108,2025-04-29,Charger,Accessories,15,25.0,375.0,East
109,2025-04-28,Webcam,Accessories,8,80.0,640.0,West
110,2025-04-08,Webcam,Accessories,18,80.0,1440.0,West
111,2025-04-30,Charger,Accessories,12,25.0,300.0,East
112,2025-04-25,Tablet,Electronics,20,300.0,6000.0,South
113,2025-04-18,Headphones,Accessories,18,60.0,1080.0,West
114,2025-04-26,Tablet,Electronics,6,300.0,1800.0,West
115,2025-04-09,Headphones,Accessories,15,60.0,900.0,North
116,2025-04-15,Monitor,Electronics,3,200.0,600.0,North
117,2025-04-21,Keyboard,Accessories,2,30.0,60.0,West
118,2025-04-24,USB Cable,Accessories,6,10.0,60.0,South
119,2025-04-25,Keyboard,Accessories,1,30.0,30.0,North
120,2025-04-28,Webcam,Accessories,16,80.0,1280.0,South
121,2025-04-02,Keyboard,Accessories,9,30.0,270.0,West
122,2025-04-21,Laptop,Electronics,16,750.0,12000.0,East
123,2025-04-17,Smartphone,Electronics,19,500.0,9500.0,South
124,2025-04-24,Tablet,Electronics,5,300.0,1500.0,North
125,2025-04-22,USB Cable,Accessories,3,10.0,30.0,East
126,2025-04-14,Headphones,Accessories,6,60.0,360.0,West
127,2025-04-05,Mouse,Accessories,3,20.0,60.0,East
128,2025-04-14,Laptop,Electronics,8,750.0,6000.0,South
129,2025-04-30,Headphones,Accessories,9,60.0,540.0,East
130,2025-04-16,Webcam,Accessories,19,80.0,1520.0,East
131,2025-04-26,Smartphone,Electronics,20,500.0,10000.0,West
132,2025-04-28,Laptop,Electronics,3,750.0,2250.0,East
133,2025-04-06,Tablet,Electronics,12,300.0,3600.0,East
134,2025-04-15,Keyboard,Accessories,16,30.0,480.0,North
135,2025-05-01,Keyboard,Accessories,7,30.0,210.0,North
136,2025-04-19,Charger,Accessories,11,25.0,275.0,North
137,2025-04-21,Tablet,Electronics,15,300.0,4500.0,North
138,2025-04-08,Keyboard,Accessories,3,30.0,90.0,South
139,2025-04-29,Headphones,Accessories,1,60.0,60.0,North
140,2025-04-09,Smartphone,Electronics,8,500.0,4000.0,East
141,2025-04-04,Smartphone,Electronics,18,500.0,9000.0,East
142,2025-04-01,Keyboard,Accessories,19,30.0,570.0,West
143,2025-04-03,Headphones,Accessories,5,60.0,300.0,South
144,2025-04-01,Smartphone,Electronics,14,500.0,7000.0,East
145,2025-04-10,Keyboard,Accessories,6,30.0,180.0,South
146,2025-04-03,Laptop,Electronics,6,750.0,4500.0,West
147,2025-04-29,Mouse,Accessories,6,20.0,120.0,South
148,2025-04-21,Smartphone,Electronics,3,500.0,1500.0,South
149,2025-04-29,Tablet,Electronics,6,300.0,1800.0,North
150,2025-04-02,Headphones,Accessories,11,60.0,660.0,East
151,2025-04-16,Keyboard,Accessories,9,30.0,270.0,East
152,2025-04-27,Laptop,Electronics,8,750.0,6000.0,North
153,2025-04-09,Charger,Accessories,13,25.0,325.0,West
154,2025-04-09,Webcam,Accessories,6,80.0,480.0,East
155,2025-04-05,USB Cable,Accessories,11,10.0,110.0,North
156,2025-04-17,USB Cable,Accessories,7,10.0,70.0,West
157,2025-04-07,Smartphone,Electronics,5,500.0,2500.0,West
158,2025-04-05,Monitor,Electronics,17,200.0,3400.0,East
159,2025-04-08,Smartphone,Electronics,4,500.0,2000.0,South
160,2025-04-27,USB Cable,Accessories,20,10.0,200.0,South
161,2025-04-13,Charger,Accessories,8,25.0,200.0,South
162,2025-04-04,Webcam,Accessories,6,80.0,480.0,East
163,2025-05-01,Laptop,Electronics,1,750.0,750.0,West
164,2025-04-22,Smartphone,Electronics,16,500.0,8000.0,North
165,2025-04-23,Monitor,Electronics,1,200.0,200.0,South
166,2025-04-28,Mouse,Accessories,10,20.0,200.0,East
167,2025-04-02,Laptop,Electronics,6,750.0,4500.0,North
168,2025-04-29,USB Cable,Accessories,15,10.0,150.0,South
169,2025-04-19,Keyboard,Accessories,8,30.0,240.0,East
170,2025-04-03,Keyboard,Accessories,9,30.0,270.0,West
171,2025-04-07,Tablet,Electronics,1,300.0,300.0,West
172,2025-04-27,Monitor,Electronics,16,200.0,3200.0,South
173,2025-04-23,Charger,Accessories,8,25.0,200.0,South
174,2025-04-19,USB Cable,Accessories,19,10.0,190.0,South
175,2025-04-27,Webcam,Accessories,7,80.0,560.0,South
176,2025-04-16,Tablet,Electronics,13,300.0,3900.0,South
177,2025-04-02,USB Cable,Accessories,20,10.0,200.0,North
178,2025-04-08,Webcam,Accessories,7,80.0,560.0,East
179,2025-04-01,Keyboard,Accessories,3,30.0,90.0,South
180,2025-04-01,Webcam,Accessories,2,80.0,160.0,West
181,2025-04-11,Keyboard,Accessories,15,30.0,450.0,West
182,2025-04-26,Webcam,Accessories,13,80.0,1040.0,East
183,2025-04-16,Mouse,Accessories,18,20.0,360.0,West
184,2025-04-23,Smartphone,Electronics,6,500.0,3000.0,East
185,2025-04-19,Smartphone,Electronics,3,500.0,1500.0,West
186,2025-04-07,Laptop,Electronics,5,750.0,3750.0,West
187,2025-04-17,Laptop,Electronics,15,750.0,11250.0,East
188,2025-04-22,Laptop,Electronics,3,750.0,2250.0,East
189,2025-04-06,Charger,Accessories,19,25.0,475.0,North
190,2025-04-09,Keyboard,Accessories,19,30.0,570.0,West
191,2025-04-05,Charger,Accessories,17,25.0,425.0,East
192,2025-04-10,Webcam,Accessories,13,80.0,1040.0,South
193,2025-04-19,Smartphone,Electronics,4,500.0,2000.0,South
194,2025-04-24,Smartphone,Electronics,12,500.0,6000.0,South
195,2025-04-16,Mouse,Accessories,16,20.0,320.0,South
196,2025-04-28,Tablet,Electronics,7,300.0,2100.0,East
197,2025-04-08,Smartphone,Electronics,9,500.0,4500.0,East
198,2025-04-14,Webcam,Accessories,15,80.0,1200.0,North
199,2025-04-26,Smartphone,Electronics,6,500.0,3000.0,South
200,2025-04-03,Laptop,Electronics,5,750.0,3750.0,North
201,2025-04-27,Monitor,Electronics,15,200.0,3000.0,West
202,2025-04-03,Keyboard,Accessories,1,30.0,30.0,West
203,2025-04-21,Laptop,Electronics,11,750.0,8250.0,South
204,2025-04-04,Headphones,Accessories,7,60.0,420.0,East
205,2025-04-12,Headphones,Accessories,12,60.0,720.0,South
206,2025-04-06,Smartphone,Electronics,2,500.0,1000.0,North
207,2025-04-19,Laptop,Electronics,8,750.0,6000.0,East
208,2025-04-15,Charger,Accessories,15,25.0,375.0,North
209,2025-04-16,Headphones,Accessories,2,60.0,120.0,North
210,2025-04-23,Tablet,Electronics,16,300.0,4800.0,North
211,2025-04-17,Charger,Accessories,3,25.0,75.0,East
212,2025-04-24,Mouse,Accessories,20,20.0,400.0,South
213,2025-04-19,Keyboard,Accessories,9,30.0,270.0,East
214,2025-04-09,Monitor,Electronics,6,200.0,1200.0,West
215,2025-04-20,Keyboard,Accessories,1,30.0,30.0,West
216,2025-04-15,Headphones,Accessories,2,60.0,120.0,East
217,2025-04-14,Webcam,Accessories,2,80.0,160.0,West
218,2025-04-18,Mouse,Accessories,16,20.0,320.0,East
219,2025-04-08,Mouse,Accessories,11,20.0,220.0,East
220,2025-04-02,Smartphone,Electronics,13,500.0,6500.0,East
221,2025-04-10,Tablet,Electronics,7,300.0,2100.0,North
222,2025-04-13,USB Cable,Accessories,13,10.0,130.0,East
223,2025-04-21,Charger,Accessories,2,25.0,50.0,West
224,2025-04-01,Headphones,Accessories,2,60.0,120.0,North
225,2025-04-08,USB Cable,Accessories,11,10.0,110.0,West
226,2025-04-12,Webcam,Accessories,19,80.0,1520.0,South
227,2025-04-22,Laptop,Electronics,9,750.0,6750.0,North
228,2025-04-10,Charger,Accessories,9,25.0,225.0,West
229,2025-04-05,Headphones,Accessories,20,60.0,1200.0,South
230,2025-04-04,Laptop,Electronics,19,750.0,14250.0,East
231,2025-04-25,Smartphone,Electronics,19,500.0,9500.0,West
232,2025-04-07,Laptop,Electronics,18,750.0,13500.0,South
233,2025-04-08,Monitor,Electronics,11,200.0,2200.0,West
234,2025-04-16,Keyboard,Accessories,14,30.0,420.0,South
235,2025-04-30,Headphones,Accessories,16,60.0,960.0,East
236,2025-04-24,Tablet,Electronics,3,300.0,900.0,South
237,2025-04-05,Webcam,Accessories,7,80.0,560.0,North
238,2025-04-11,USB Cable,Accessories,2,10.0,20.0,North
239,2025-04-08,USB Cable,Accessories,11,10.0,110.0,North
240,2025-04-07,USB Cable,Accessories,10,10.0,100.0,East
241,2025-04-10,Webcam,Accessories,9,80.0,720.0,East
242,2025-04-16,USB Cable,Accessories,3,10.0,30.0,East
243,2025-04-23,Smartphone,Electronics,8,500.0,4000.0,West
244,2025-04-10,Smartphone,Electronics,4,500.0,2000.0,East
245,2025-04-16,Laptop,Electronics,14,750.0,10500.0,East
246,2025-04-09,Headphones,Accessories,17,60.0,1020.0,South
247,2025-04-17,Smartphone,Electronics,13,500.0,6500.0,South
248,2025-04-05,Smartphone,Electronics,11,500.0,5500.0,South
249,2025-04-11,Monitor,Electronics,6,200.0,1200.0,North
250,2025-04-22,Charger,Accessories,20,25.0,500.0,West
251,2025-04-04,Tablet,Electronics,5,300.0,1500.0,West
252,2025-04-08,Tablet,Electronics,4,300.0,1200.0,South
253,2025-04-01,USB Cable,Accessories,12,10.0,120.0,South
254,2025-04-09,Charger,Accessories,19,25.0,475.0,North
255,2025-04-27,Mouse,Accessories,2,20.0,40.0,West
256,2025-04-17,Keyboard,Accessories,12,30.0,360.0,South
257,2025-04-15,Laptop,Electronics,2,750.0,1500.0,West
258,2025-04-23,Webcam,Accessories,13,80.0,1040.0,North
259,2025-04-16,Tablet,Electronics,6,300.0,1800.0,West
260,2025-04-16,Webcam,Accessories,8,80.0,640.0,West
261,2025-04-18,Headphones,Accessories,2,60.0,120.0,West
262,2025-04-11,Tablet,Electronics,8,300.0,2400.0,West
263,2025-04-14,Keyboard,Accessories,9,30.0,270.0,South
264,2025-05-01,Charger,Accessories,1,25.0,25.0,East
265,2025-04-17,Charger,Accessories,14,25.0,350.0,North
266,2025-04-26,Monitor,Electronics,7,200.0,1400.0,South
267,2025-05-01,Headphones,Accessories,20,60.0,1200.0,East
268,2025-04-10,Tablet,Electronics,2,300.0,600.0,West
269,2025-04-08,Monitor,Electronics,10,200.0,2000.0,South
270,2025-04-25,Charger,Accessories,7,25.0,175.0,South
271,2025-04-03,Headphones,Accessories,19,60.0,1140.0,West
272,2025-04-26,Laptop,Electronics,11,750.0,8250.0,West
273,2025-04-15,Tablet,Electronics,20,300.0,6000.0,North
274,2025-04-09,Smartphone,Electronics,3,500.0,1500.0,East
275,2025-04-16,Charger,Accessories,8,25.0,200.0,West
276,2025-04-13,Mouse,Accessories,20,20.0,400.0,North
277,2025-04-03,USB Cable,Accessories,11,10.0,110.0,East
278,2025-04-11,USB Cable,Accessories,15,10.0,150.0,West
279,2025-04-23,Keyboard,Accessories,14,30.0,420.0,North
280,2025-04-08,Monitor,Electronics,19,200.0,3800.0,South
281,2025-04-29,Charger,Accessories,17,25.0,425.0,South
282,2025-04-09,Tablet,Electronics,18,300.0,5400.0,West
283,2025-04-29,Webcam,Accessories,9,80.0,720.0,North
284,2025-04-19,Webcam,Accessories,16,80.0,1280.0,North
285,2025-04-05,Keyboard,Accessories,17,30.0,510.0,East
286,2025-04-19,Charger,Accessories,14,25.0,350.0,North
287,2025-04-16,Monitor,Electronics,10,200.0,2000.0,South
288,2025-04-19,Webcam,Accessories,17,80.0,1360.0,North
289,2025-04-01,Charger,Accessories,8,25.0,200.0,South
290,2025-04-20,USB Cable,Accessories,10,10.0,100.0,South
291,2025-04-10,Webcam,Accessories,1,80.0,80.0,North
292,2025-04-01,Laptop,Electronics,8,750.0,6000.0,East
293,2025-04-05,Charger,Accessories,7,25.0,175.0,North
294,2025-04-30,Mouse,Accessories,17,20.0,340.0,East
295,2025-04-03,Monitor,Electronics,17,200.0,3400.0,East
296,2025-04-14,Laptop,Electronics,18,750.0,13500.0,South
297,2025-04-23,Mouse,Accessories,1,20.0,20.0,South
298,2025-04-06,Webcam,Accessories,16,80.0,1280.0,East
299,2025-04-06,Headphones,Accessories,9,60.0,540.0,West
300,2025-04-18,Mouse,Accessories,2,20.0,40.0,South
301,2025-04-30,Laptop,Electronics,20,750.0,15000.0,West
302,2025-04-09,Monitor,Electronics,13,200.0,2600.0,West
303,2025-04-19,Smartphone,Electronics,13,500.0,6500.0,West
304,2025-04-28,USB Cable,Accessories,20,10.0,200.0,West
305,2025-04-01,Charger,Accessories,19,25.0,475.0,East
306,2025-04-04,Headphones,Accessories,16,60.0,960.0,North
307,2025-04-05,Smartphone,Electronics,12,500.0,6000.0,North
308,2025-04-27,USB Cable,Accessories,1,10.0,10.0,East
309,2025-04-03,Tablet,Electronics,7,300.0,2100.0,East
310,2025-04-09,Tablet,Electronics,9,300.0,2700.0,West
311,2025-04-29,Charger,Accessories,16,25.0,400.0,North
312,2025-04-23,Mouse,Accessories,3,20.0,60.0,North
313,2025-04-05,USB Cable,Accessories,19,10.0,190.0,West
314,2025-04-10,Monitor,Electronics,4,200.0,800.0,North
315,2025-04-17,Laptop,Electronics,19,750.0,14250.0,West
316,2025-04-04,Mouse,Accessories,19,20.0,380.0,West
317,2025-04-21,Keyboard,Accessories,20,30.0,600.0,East
318,2025-04-03,Headphones,Accessories,17,60.0,1020.0,South
319,2025-04-13,Headphones,Accessories,14,60.0,840.0,North
320,2025-04-20,Tablet,Electronics,7,300.0,2100.0,South
321,2025-04-11,Mouse,Accessories,7,20.0,140.0,North
322,2025-04-26,Charger,Accessories,7,25.0,175.0,South
323,2025-04-28,Webcam,Accessories,12,80.0,960.0,North
324,2025-04-28,Monitor,Electronics,20,200.0,4000.0,East
325,2025-04-01,Webcam,Accessories,8,80.0,640.0,East
326,2025-04-28,Charger,Accessories,1,25.0,25.0,South
327,2025-04-13,USB Cable,Accessories,5,10.0,50.0,East
328,2025-04-06,Webcam,Accessories,6,80.0,480.0,West
329,2025-04-26,Headphones,Accessories,8,60.0,480.0,East
330,2025-04-28,Mouse,Accessories,6,20.0,120.0,South
331,2025-04-26,Laptop,Electronics,8,750.0,6000.0,North
332,2025-04-21,Laptop,Electronics,19,750.0,14250.0,East
333,2025-04-05,Laptop,Electronics,10,750.0,7500.0,South
334,2025-04-30,Laptop,Electronics,2,750.0,1500.0,South
335,2025-04-03,Charger,Accessories,18,25.0,450.0,South
336,2025-04-06,Keyboard,Accessories,16,30.0,480.0,West
337,2025-04-06,Tablet,Electronics,16,300.0,4800.0,South
338,2025-04-15,Mouse,Accessories,14,20.0,280.0,North
339,2025-04-24,Laptop,Electronics,4,750.0,3000.0,North
340,2025-04-15,Smartphone,Electronics,18,500.0,9000.0,North
341,2025-04-20,Headphones,Accessories,11,60.0,660.0,North
342,2025-04-09,USB Cable,Accessories,11,10.0,110.0,East
343,2025-04-23,USB Cable,Accessories,13,10.0,130.0,South
344,2025-04-09,Smartphone,Electronics,11,500.0,5500.0,South
345,2025-04-23,Mouse,Accessories,1,20.0,20.0,West
346,2025-04-13,Mouse,Accessories,7,20.0,140.0,East
347,2025-04-15,Keyboard,Accessories,4,30.0,120.0,North
348,2025-04-05,Headphones,Accessories,15,60.0,900.0,South
349,2025-04-25,Keyboard,Accessories,3,30.0,90.0,East
350,2025-04-10,Charger,Accessories,2,25.0,50.0,North
351,2025-05-01,Keyboard,Accessories,9,30.0,270.0,West
352,2025-04-07,Smartphone,Electronics,8,500.0,4000.0,West
353,2025-04-16,Charger,Accessories,19,25.0,475.0,South
354,2025-04-02,Laptop,Electronics,20,750.0,15000.0,North
355,2025-04-29,Tablet,Electronics,11,300.0,3300.0,West
356,2025-04-27,Tablet,Electronics,12,300.0,3600.0,North
357,2025-04-16,Smartphone,Electronics,18,500.0,9000.0,South
358,2025-04-02,Charger,Accessories,20,25.0,500.0,South
359,2025-04-26,USB Cable,Accessories,2,10.0,20.0,South
360,2025-04-07,Keyboard,Accessories,11,30.0,330.0,West
361,2025-04-16,Mouse,Accessories,20,20.0,400.0,East
362,2025-04-15,USB Cable,Accessories,4,10.0,40.0,North
363,2025-04-07,Monitor,Electronics,13,200.0,2600.0,North
364,2025-04-20,USB Cable,Accessories,19,10.0,190.0,South
365,2025-04-08,Laptop,Electronics,12,750.0,9000.0,North
366,2025-04-11,Mouse,Accessories,10,20.0,200.0,North
367,2025-04-11,Mouse,Accessories,10,20.0,200.0,North
368,2025-05-01,Webcam,Accessories,19,80.0,1520.0,South
369,2025-04-12,Webcam,Accessories,6,80.0,480.0,North
370,2025-04-14,Webcam,Accessories,9,80.0,720.0,West
371,2025-04-11,Webcam,Accessories,5,80.0,400.0,West
372,2025-04-05,USB Cable,Accessories,10,10.0,100.0,South
373,2025-04-25,Headphones,Accessories,10,60.0,600.0,South
374,2025-04-24,Mouse,Accessories,17,20.0,340.0,South
375,2025-04-06,Monitor,Electronics,1,200.0,200.0,East
376,2025-04-26,Tablet,Electronics,4,300.0,1200.0,West
377,2025-04-13,USB Cable,Accessories,12,10.0,120.0,East
378,2025-04-16,Keyboard,Accessories,4,30.0,120.0,South
379,2025-04-01,Laptop,Electronics,7,750.0,5250.0,West
380,2025-04-22,Keyboard,Accessories,13,30.0,390.0,West
381,2025-04-22,Tablet,Electronics,19,300.0,5700.0,West
382,2025-04-14,USB Cable,Accessories,6,10.0,60.0,West
383,2025-04-20,Smartphone,Electronics,16,500.0,8000.0,North
384,2025-04-20,USB Cable,Accessories,11,10.0,110.0,West
385,2025-04-05,Mouse,Accessories,11,20.0,220.0,South
386,2025-04-22,Mouse,Accessories,14,20.0,280.0,South
387,2025-04-06,Monitor,Electronics,15,200.0,3000.0,West
388,2025-04-15,Monitor,Electronics,16,200.0,3200.0,North
389,2025-04-26,Headphones,Accessories,20,60.0,1200.0,North
390,2025-04-17,Charger,Accessories,20,25.0,500.0,South
391,2025-04-25,Laptop,Electronics,7,750.0,5250.0,West
392,2025-04-10,Smartphone,Electronics,8,500.0,4000.0,South
393,2025-04-19,Webcam,Accessories,20,80.0,1600.0,North
394,2025-04-25,Webcam,Accessories,12,80.0,960.0,South
395,2025-04-13,Headphones,Accessories,10,60.0,600.0,East
396,2025-04-28,Laptop,Electronics,5,750.0,3750.0,West
397,2025-04-20,Keyboard,Accessories,14,30.0,420.0,West
398,2025-05-01,Monitor,Electronics,7,200.0,1400.0,East
399,2025-04-26,Keyboard,Accessories,12,30.0,360.0,North
400,2025-04-09,USB Cable,Accessories,5,10.0,50.0,North
401,2025-04-24,USB Cable,Accessories,8,10.0,80.0,South
402,2025-04-06,Monitor,Electronics,11,200.0,2200.0,West
403,2025-04-11,Mouse,Accessories,15,20.0,300.0,North
404,2025-04-07,Charger,Accessories,2,25.0,50.0,East
405,2025-04-12,Headphones,Accessories,16,60.0,960.0,East
406,2025-04-16,Headphones,Accessories,2,60.0,120.0,North
407,2025-04-22,Smartphone,Electronics,1,500.0,500.0,North
408,2025-04-14,Smartphone,Electronics,10,500.0,5000.0,West
409,2025-04-16,Charger,Accessories,13,25.0,325.0,North
410,2025-04-20,Charger,Accessories,13,25.0,325.0,North
411,2025-04-03,Monitor,Electronics,19,200.0,3800.0,West
412,2025-04-02,Tablet,Electronics,4,300.0,1200.0,East
413,2025-04-25,Headphones,Accessories,16,60.0,960.0,North
414,2025-04-03,Webcam,Accessories,12,80.0,960.0,East
415,2025-04-21,Smartphone,Electronics,20,500.0,10000.0,West
416,2025-04-28,Monitor,Electronics,17,200.0,3400.0,South
417,2025-04-24,Headphones,Accessories,3,60.0,180.0,South
418,2025-04-08,USB Cable,Accessories,16,10.0,160.0,South
419,2025-04-11,Charger,Accessories,7,25.0,175.0,North
420,2025-04-25,Monitor,Electronics,6,200.0,1200.0,East
421,2025-04-19,Webcam,Accessories,20,80.0,1600.0,South
422,2025-04-23,Mouse,Accessories,4,20.0,80.0,North
423,2025-04-25,Charger,Accessories,17,25.0,425.0,North
424,2025-04-19,Webcam,Accessories,12,80.0,960.0,East
425,2025-04-22,Webcam,Accessories,1,80.0,80.0,South
426,2025-04-16,Webcam,Accessories,8,80.0,640.0,North
427,2025-04-18,USB Cable,Accessories,13,10.0,130.0,East
428,2025-04-13,Charger,Accessories,17,25.0,425.0,West
429,2025-04-21,Keyboard,Accessories,11,30.0,330.0,North
430,2025-04-30,Laptop,Electronics,9,750.0,6750.0,East
431,2025-04-01,Monitor,Electronics,17,200.0,3400.0,North
432,2025-04-28,Tablet,Electronics,18,300.0,5400.0,East
433,2025-04-19,Tablet,Electronics,7,300.0,2100.0,West
434,2025-04-16,USB Cable,Accessories,2,10.0,20.0,South
435,2025-04-12,Tablet,Electronics,1,300.0,300.0,North
436,2025-04-28,Charger,Accessories,2,25.0,50.0,North
437,2025-04-02,Webcam,Accessories,2,80.0,160.0,South
438,2025-04-02,Tablet,Electronics,14,300.0,4200.0,East
439,2025-04-08,Keyboard,Accessories,3,30.0,90.0,East
440,2025-04-02,Monitor,Electronics,7,200.0,1400.0,West
441,2025-04-20,USB Cable,Accessories,13,10.0,130.0,South
